Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
Low Fat,NCK30,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.06,14.85,253.27,3.7
Low Fat,NCP43,Others,2015,OUT045,Tier 2,Small,Supermarket Type1,0.03,17.75,177.87,3.7
Low Fat,FDF22,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.06,6.87,214.62,3.7
Low Fat,FDT48,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.05,4.92,199.81,3.7
Low Fat,FDU25,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.03,12.35,57.32,3.7
Low Fat,FDO04,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.00,16.60,54.66,3.7
Low Fat,FDG29,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.06,17.60,41.75,3.7
Low Fat,NCO17,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.07,10.00,121.44,3.7
Low Fat,NCZ30,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.00,6.59,119.11,3.7
Low Fat,FDK27,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,0.01,11.00,119.98,3.7
Low Fat,DRL49,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,0.06,13.15,144.38,3.7
Regular,FDN56,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.11,5.46,145.58,3.7
Regular,FDV56,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.01,16.10,109.36,3.7
Regular,FDU20,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.02,19.35,122.21,3.7
Regular,FDV33,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.03,9.60,258.33,3.7
Regular,FDN22,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.14,18.85,252.47,3.7
Regular,FDB23,Starchy Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.00,19.20,223.81,3.7
Regular,FDT35,Breads,2020,OUT017,Tier 2,High,Supermarket Type1,0.08,19.85,167.68,3.7
Regular,FDD38,Canned,2020,OUT017,Tier 2,High,Supermarket Type1,0.01,16.75,101.97,3.7
Regular,FDI40,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.13,11.50,100.64,3.7
Regular,FDB29,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.05,16.70,114.72,3.7
Regular,FDK10,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.04,5.79,180.37,3.7
Regular,FDT09,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.01,15.15,130.03,3.7
Low Fat,FDO12,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.05,15.75,195.85,3.7
Low Fat,FDU23,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,0.02,12.15,163.12,3.7
Low Fat,FDJ50,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.02,8.65,53.40,3.7
Low Fat,FDX02,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.06,16.00,225.94,3.7
Low Fat,DRE03,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.02,19.60,45.57,3.7
Low Fat,FDK16,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.12,9.07,97.01,3.7
Low Fat,FDG04,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.01,13.10,188.99,3.7
Low Fat,FDB53,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.14,13.35,148.34,3.7
Low Fat,NCW17,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.02,18.00,129.40,3.7
Low Fat,NCP05,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03,19.60,152.00,3.7
Low Fat,NCT42,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.02,5.88,149.44,3.7
Low Fat,NCT30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.08,9.10,47.27,3.7
Low Fat,NCE18,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.02,10.00,248.38,3.7
Low Fat,FDL33,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.00,7.24,197.25,3.7
Low Fat,FDM21,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.06,20.20,259.46,3.7
Regular,FDQ47,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,0.17,7.16,33.79,3.7
Regular,FDN49,Breakfast,2017,OUT035,Tier 2,Small,Supermarket Type1,0.13,17.25,41.65,3.7
Regular,FDE51,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.10,5.93,43.81,3.7
Regular,FDZ26,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.14,11.60,239.62,3.7
Regular,FDQ40,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.04,11.10,177.27,3.7
Regular,FDI40,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.13,11.50,99.74,3.7
Regular,FDJ40,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.05,13.60,110.09,3.7
Regular,FDV19,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.04,14.85,160.96,3.7
Regular,FDN58,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.06,13.80,231.60,3.7
reg,FDL14,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03,8.12,157.40,3.7
Low Fat,FDB28,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,0.16,6.62,196.34,3.7
Low Fat,FDJ41,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.04,6.85,261.26,3.7
Low Fat,FDJ28,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.04,12.30,193.32,3.7
Low Fat,FDS40,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.02,15.35,35.22,3.7
Low Fat,FDE09,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,0.04,8.78,110.72,3.7
Low Fat,NCX05,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.16,15.20,117.65,3.7
Low Fat,NCA54,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.06,16.50,178.73,3.7
Low Fat,NCB07,Household,2011,OUT010,Tier 3,High,Grocery Store,0.13,19.20,196.21,3.7
Low Fat,FDK46,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.09,9.60,258.36,3.7
Low Fat,FDV09,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.03,12.10,146.67,3.7
Regular,FDJ03,Dairy,2011,OUT010,Tier 3,High,Grocery Store,0.12,12.35,47.87,3.7
Regular,FDU26,Dairy,2011,OUT010,Tier 3,High,Grocery Store,0.07,16.70,120.38,3.7
Regular,FDO56,Fruits and Vegetables,2011,OUT010,Tier 3,High,Grocery Store,0.08,10.20,119.18,3.7
Regular,FDT15,Meat,2011,OUT010,Tier 3,High,Grocery Store,0.07,12.15,182.30,3.7
low fat,FDB60,Baking Goods,2011,OUT010,Tier 3,Small,Grocery Store,0.05,9.30,195.01,3.7
Low Fat,FDO36,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.08,19.70,179.17,3.7
Low Fat,FDT25,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.05,7.50,123.41,3.7
Low Fat,FDR49,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.00,8.71,46.54,3.7
Low Fat,FDQ52,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.12,17.00,247.44,3.7
Low Fat,FDI52,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.10,18.70,121.41,3.7
Low Fat,FDX44,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.04,9.30,88.52,3.7
Low Fat,FDG57,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.07,14.70,47.50,3.7
Low Fat,NCB54,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.05,8.76,126.73,3.7
Low Fat,NCR05,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.05,10.10,196.51,3.7
Low Fat,NCH07,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.09,13.15,159.56,3.7
Low Fat,NCL42,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.04,18.85,246.71,3.7
Low Fat,NCO30,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.02,19.50,181.86,3.7
Low Fat,NCC07,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.02,19.60,103.20,3.7
Low Fat,FDK45,Seafood,2014,OUT013,Tier 3,High,Supermarket Type1,0.03,11.65,111.69,3.7
Low Fat,FDI22,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.10,12.60,208.96,3.7
Low Fat,FDP10,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.13,19.00,107.66,3.7
Low Fat,DRE12,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.07,4.59,113.29,3.7
Low Fat,DRJ49,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.00,6.87,129.97,3.7
Regular,FDX47,Breads,2014,OUT013,Tier 3,High,Supermarket Type1,0.03,6.55,156.53,3.7
Regular,FDA03,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.05,18.50,144.91,3.7
Regular,DRM49,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.15,6.11,43.01,3.7
Regular,FDD47,Starchy Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.14,7.60,171.34,3.7
low fat,NCD06,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.10,13.00,46.31,3.7
reg,FDZ26,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.14,11.60,240.62,3.7
LF,FDA44,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.05,19.70,55.09,3.7
Low Fat,FDT38,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.06,18.70,85.36,3.7
Low Fat,FDT04,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.00,17.25,40.88,3.7
Low Fat,FDK52,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.00,18.25,224.11,3.7
Low Fat,FDS07,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.10,12.35,113.65,3.7
Low Fat,FDF32,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.00,16.35,196.34,3.7
Low Fat,NCV41,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.02,14.35,110.32,3.7
Low Fat,NCH54,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.07,13.50,160.69,3.7
Low Fat,FDJ07,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.01,7.26,118.12,3.7
Low Fat,FDL15,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.05,17.85,153.67,3.7
Low Fat,NCM07,Others,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.04,9.40,85.19,3.7
Low Fat,FDI57,Seafood,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.05,19.85,196.08,3.7
Low Fat,FDA10,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.14,20.35,122.71,3.7
Low Fat,FDL46,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.05,20.35,117.35,3.7
Low Fat,FDC35,Starchy Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.12,7.44,206.16,3.7
Regular,FDI36,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.06,12.50,196.94,3.7
Regular,FDW02,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.04,4.81,126.27,3.7
Regular,FDZ28,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.05,20.00,125.87,3.7
Regular,FDF08,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.00,14.30,89.89,3.7
low fat,FDV49,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.03,10.00,264.72,3.7
reg,FDU19,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.05,8.77,173.84,3.7
Low Fat,FDZ52,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.10,,109.19,3.7
Low Fat,NCA42,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.03,,158.06,3.7
Low Fat,NCQ50,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.03,,211.92,3.7
Low Fat,FDU39,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.04,,58.36,3.7
Low Fat,FDF58,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.01,,64.55,3.7
Low Fat,FDH34,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.03,,186.66,3.7
Low Fat,FDK57,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.08,,120.04,3.7
Low Fat,FDM10,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.08,,215.12,3.7
Low Fat,FDQ22,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.03,,40.98,3.7
Low Fat,DRI01,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.03,,173.14,3.7
Regular,FDT24,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.00,,75.93,3.7
Regular,FDT47,Breads,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.02,,95.91,3.7
Regular,FDD40,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.01,,193.62,3.7
Regular,FDG56,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.07,,60.55,3.7
Regular,FDQ45,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.01,,185.36,3.7
Regular,DRC01,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.02,,48.47,3.7
Regular,FDD59,Starchy Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.07,,81.90,3.7
Regular,FDO10,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.01,13.65,57.66,3.6
Low Fat,FDG02,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.01,7.86,189.62,3.6
Regular,FDH14,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.05,17.10,141.18,3.6
Regular,FDG12,Baking Goods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.00,6.64,121.31,3.6
Low Fat,NCC31,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.02,8.02,154.60,3.6
Low Fat,FDW11,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.05,12.60,61.92,3.6
Regular,FDE40,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.10,,62.92,3.6
Regular,FDG33,Seafood,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.14,,170.48,3.6
Low Fat,FDA33,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.03,6.48,148.01,3.6
LF,FDC15,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.18,18.10,155.53,3.6
Regular,DRB48,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.00,16.75,39.38,3.6
low fat,FDK48,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.00,7.45,76.84,3.6
reg,FDH45,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.11,15.10,42.88,3.6
Regular,FDW22,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.03,9.70,222.91,3.6
Regular,FDO27,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.18,6.18,95.28,3.6
Regular,FDS33,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.12,,86.95,3.6
Low Fat,NCZ06,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.09,19.60,252.27,3.6
Regular,FDA52,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.13,16.20,178.44,3.6
Regular,FDM60,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.05,10.80,41.51,3.6
Regular,FDO10,Snack Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.02,13.65,58.36,3.6
LF,FDD36,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.02,13.30,119.81,3.6
Low Fat,FDU02,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.10,13.35,228.64,3.6
Low Fat,FDB08,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.03,6.06,158.76,3.6
Low Fat,DRM23,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.14,16.60,172.04,3.6
Low Fat,NCD31,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.02,12.10,166.05,3.6
Regular,FDV37,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.08,13.00,196.04,3.6
Regular,FDT55,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.00,13.60,156.49,3.6
Low Fat,FDL16,Frozen Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.29,,47.11,3.6
Low Fat,DRK11,Hard Drinks,2018,OUT019,Tier 1,Small,Grocery Store,0.02,,148.04,3.6
Low Fat,NCM26,Others,2018,OUT019,Tier 1,Small,Grocery Store,0.04,,153.93,3.6
Low Fat,FDK09,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.16,,227.54,3.6
Low Fat,FDT46,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.05,,52.10,3.6
Regular,FDP13,Canned,2018,OUT019,Tier 1,Small,Grocery Store,0.24,,41.55,3.6
Regular,FDO03,Meat,2018,OUT019,Tier 1,Small,Grocery Store,0.06,,230.54,3.6
Regular,FDO09,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.00,,262.89,3.6
LF,FDD17,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.03,7.50,235.99,3.6
LF,FDC20,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.02,10.65,54.03,3.6
LF,NCI18,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.01,18.35,224.57,3.6
Low Fat,FDW13,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.10,8.50,52.53,3.6
Low Fat,FDA50,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.09,16.25,98.34,3.6
Low Fat,FDT43,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.02,16.35,51.23,3.6
Low Fat,FDD57,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.02,18.10,96.01,3.6
Low Fat,DRG11,Hard Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.00,6.39,108.96,3.6
Low Fat,NCB30,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.03,14.60,199.91,3.6
Low Fat,NCR50,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.01,20.20,151.63,3.6
Low Fat,FDX21,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.08,7.05,111.19,3.6
Low Fat,FDJ46,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.04,11.10,174.21,3.6
Low Fat,FDX45,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.00,16.75,156.16,3.6
Regular,FDN23,Breads,2016,OUT046,Tier 1,Small,Supermarket Type1,0.08,6.58,146.44,3.6
Regular,FDV52,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.12,20.70,118.05,3.6
Regular,FDQ07,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.09,15.10,221.85,3.6
Regular,FDX56,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.07,17.10,209.06,3.6
low fat,NCE43,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.10,12.50,170.84,3.6
LF,NCD07,Household,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.00,9.10,115.45,3.6
Low Fat,FDX13,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.05,7.73,250.21,3.6
Low Fat,FDR26,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.04,20.70,178.30,3.6
Low Fat,FDD05,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.02,19.35,120.91,3.6
Low Fat,FDQ20,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.03,8.33,41.61,3.6
Low Fat,NCI29,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.03,8.60,140.92,3.6
Low Fat,NCP55,Others,2015,OUT045,Tier 2,Small,Supermarket Type1,0.01,14.65,55.66,3.6
Low Fat,FDI46,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.07,9.50,251.97,3.6
Low Fat,FDI33,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.03,16.50,91.01,3.6
Low Fat,DRE49,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.02,20.75,151.90,3.6
Low Fat,FDF02,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.10,16.20,102.50,3.6
Low Fat,NCP05,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.03,19.60,151.70,3.6
Low Fat,NCW30,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.01,5.21,257.90,3.6
Low Fat,NCL54,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.08,12.60,174.51,3.6
Low Fat,NCF42,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.17,17.35,176.77,3.6
Low Fat,NCP30,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.03,20.50,39.38,3.6
Low Fat,NCO43,Others,2020,OUT017,Tier 2,High,Supermarket Type1,0.05,5.50,100.00,3.6
Low Fat,FDC46,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.12,17.70,184.03,3.6
Regular,FDL13,Breakfast,2015,OUT045,Tier 2,High,Supermarket Type1,0.06,13.85,234.93,3.6
Regular,FDE41,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.06,9.20,85.96,3.6
Regular,FDR27,Meat,2015,OUT045,Tier 2,High,Supermarket Type1,0.10,15.10,133.49,3.6
Regular,FDL21,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.01,15.85,39.35,3.6
Regular,FDZ36,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.07,6.04,184.42,3.6
Regular,FDW12,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.04,8.32,144.34,3.6
Regular,FDK25,Breakfast,2020,OUT017,Tier 2,High,Supermarket Type1,0.16,11.60,168.35,3.6
Regular,FDP08,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.11,20.50,194.15,3.6
Regular,FDM15,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.06,11.80,152.44,3.6
low fat,DRF60,Soft Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.05,10.80,240.36,3.6
low fat,FDX58,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.04,13.15,181.30,3.6
Low Fat,FDP11,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,0.07,15.85,218.72,3.6
Low Fat,DRI39,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.10,13.80,57.49,3.6
Low Fat,FDF04,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.01,17.50,256.43,3.6
Low Fat,FDY31,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.04,5.98,148.24,3.6
Low Fat,FDR43,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.16,18.20,37.82,3.6
Low Fat,NCC30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03,16.60,176.63,3.6
Low Fat,FDQ10,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03,12.85,172.04,3.6
Low Fat,FDL22,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.04,16.85,91.05,3.6
Low Fat,DRG13,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.04,17.25,162.55,3.6
Regular,FDM04,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.05,9.20,52.07,3.6
Regular,FDA04,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.07,11.30,260.90,3.6
Low Fat,FDE26,Canned,2011,OUT010,Tier 3,Medium,Grocery Store,0.15,9.30,143.08,3.6
Low Fat,FDA19,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,0.09,7.52,128.80,3.6
Low Fat,NCJ30,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.13,5.82,170.58,3.6
Low Fat,NCF18,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.15,18.35,191.95,3.6
Low Fat,DRA12,Soft Drinks,2011,OUT010,Tier 3,High,Grocery Store,0.07,11.60,143.02,3.6
Regular,FDN03,Meat,2011,OUT010,Tier 3,High,Grocery Store,0.03,9.80,248.54,3.6
Regular,FDV22,Snack Foods,2011,OUT010,Tier 3,Small,Grocery Store,0.02,14.85,157.56,3.6
LF,NCA17,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.05,20.60,148.44,3.6
Low Fat,FDP38,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.03,10.10,50.90,3.6
Low Fat,FDD50,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.14,18.85,168.41,3.6
Low Fat,FDA50,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.09,16.25,96.04,3.6
Low Fat,FDX20,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.04,7.37,228.37,3.6
Low Fat,FDA56,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.01,9.21,120.84,3.6
Low Fat,FDB33,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.01,17.75,158.13,3.6
Low Fat,FDL44,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.01,18.25,162.89,3.6
Low Fat,DRH23,Hard Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.17,14.65,55.26,3.6
Low Fat,NCK29,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.13,5.62,123.47,3.6
Low Fat,NCN43,Others,2014,OUT013,Tier 3,High,Supermarket Type1,0.01,12.15,122.17,3.6
Low Fat,NCM19,Others,2014,OUT013,Tier 3,High,Supermarket Type1,0.05,12.65,114.12,3.6
Low Fat,FDC47,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.12,15.00,229.97,3.6
